Date : 2020-06-16 22:21:51
Directory : c:\Users\gorka\workspace\WacLine\input
Total : 316 files,  100543 codes, 9570 comments, 6003 blanks, all 116116 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| app\content\pdfjs\web\locale\eo                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\es-AR                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\es-CL                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\es-ES                                                                                                                        |          1 |        113 |          3 |          2 |        118 |
| app\content\pdfjs\web\locale\es-MX                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\et                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\eu                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\fa                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ff                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\fi                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\fr                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\fy-NL                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ga-IE                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\gd                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\gl                                                                                                                           |          1 |         97 |         56 |         16 |        169 |
| app\content\pdfjs\web\locale\gu-IN                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\he                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\hi-IN                                                                                                                        |          1 |        112 |         56 |         16 |        184 |
| app\content\pdfjs\web\locale\hr                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\hu                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\hy-AM                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\id                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\is                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\it                                                                                                                           |          1 |        113 |          3 |          2 |        118 |
| app\content\pdfjs\web\locale\ja                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ka                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\kk                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\km                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\kn                                                                                                                           |          1 |        111 |         56 |         16 |        183 |
| app\content\pdfjs\web\locale\ko                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ku                                                                                                                           |          1 |         75 |         56 |         16 |        147 |
| app\content\pdfjs\web\locale\lg                                                                                                                           |          1 |         41 |         56 |         16 |        113 |
| app\content\pdfjs\web\locale\lij                                                                                                                          |          1 |        109 |         56 |         16 |        181 |
| app\content\pdfjs\web\locale\lt                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\lv                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\mai                                                                                                                          |          1 |         97 |         56 |         16 |        169 |
| app\content\pdfjs\web\locale\mk                                                                                                                           |          1 |         62 |         56 |         16 |        134 |
| app\content\pdfjs\web\locale\ml                                                                                                                           |          1 |         97 |         56 |         16 |        169 |
| app\content\pdfjs\web\locale\mn                                                                                                                           |          1 |         11 |         56 |         16 |         83 |
| app\content\pdfjs\web\locale\mr                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ms                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\my                                                                                                                           |          1 |        109 |         56 |         16 |        181 |
| app\content\pdfjs\web\locale\nb-NO                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\nl                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\nn-NO                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\nso                                                                                                                          |          1 |         59 |         56 |         16 |        131 |
| app\content\pdfjs\web\locale\oc                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\or                                                                                                                           |          1 |         96 |         56 |         16 |        168 |
| app\content\pdfjs\web\locale\pa-IN                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\pl                                                                                                                           |          1 |        113 |          3 |         16 |        132 |
| app\content\pdfjs\web\locale\pt-BR                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\pt-PT                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\rm                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ro                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ru                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\rw                                                                                                                           |          1 |         10 |         56 |         16 |         82 |
| app\content\pdfjs\web\locale\sah                                                                                                                          |          1 |         95 |         56 |         16 |        167 |
| app\content\pdfjs\web\locale\si                                                                                                                           |          1 |        100 |         56 |         16 |        172 |
| app\content\pdfjs\web\locale\sk                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\sl                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\son                                                                                                                          |          1 |        109 |         56 |         16 |        181 |
| app\content\pdfjs\web\locale\sq                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\sr                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\sv-SE                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\sw                                                                                                                           |          1 |         57 |         56 |         16 |        129 |
| app\content\pdfjs\web\locale\ta                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ta-LK                                                                                                                        |          1 |          6 |         56 |         16 |         78 |
| app\content\pdfjs\web\locale\te                                                                                                                           |          1 |        112 |         56 |         16 |        184 |
| app\content\pdfjs\web\locale\th                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\tl                                                                                                                           |          1 |         42 |         56 |         16 |        114 |
| app\content\pdfjs\web\locale\tn                                                                                                                           |          1 |         12 |         56 |         16 |         84 |
| app\content\pdfjs\web\locale\tr                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\uk                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\ur                                                                                                                           |          1 |        107 |         56 |         16 |        179 |
| app\content\pdfjs\web\locale\vi                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\wo                                                                                                                           |          1 |         53 |         56 |         16 |        125 |
| app\content\pdfjs\web\locale\xh                                                                                                                           |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\zh-CN                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\zh-TW                                                                                                                        |          1 |        113 |         56 |         16 |        185 |
| app\content\pdfjs\web\locale\zu                                                                                                                           |          1 |         60 |         56 |         16 |        132 |
| app\content\plainTextFileViewer                                                                                                                           |          2 |         21 |          0 |          4 |         25 |
| app\images                                                                                                                                                |          7 |         24 |          0 |          2 |         26 |
| app\pages                                                                                                                                                 |         10 |        256 |          5 |         24 |        285 |
| app\pages\sidebar                                                                                                                                         |          6 |         77 |          0 |          9 |         86 |
| app\pages\specific                                                                                                                                        |          1 |         34 |          0 |          5 |         39 |
| app\scripts                                                                                                                                               |        130 |     13,766 |      3,189 |      1,201 |     18,156 |
| app\scripts\annotationManagement                                                                                                                          |         25 |      2,860 |        561 |        245 |      3,666 |
| app\scripts\annotationManagement\create                                                                                                                   |          1 |        143 |         30 |         12 |        185 |
| app\scripts\annotationManagement\purposes                                                                                                                 |          9 |        648 |        142 |         73 |        863 |
| app\scripts\annotationManagement\read                                                                                                                     |         11 |      1,669 |        310 |        127 |      2,106 |
| app\scripts\annotationServer                                                                                                                              |         10 |      1,450 |        264 |        127 |      1,841 |
| app\scripts\annotationServer\browserStorage                                                                                                               |          4 |        474 |         62 |         35 |        571 |
| app\scripts\annotationServer\hypothesis                                                                                                                   |          2 |        131 |          4 |         16 |        151 |
| app\scripts\annotationServer\neo4j                                                                                                                        |          2 |        803 |        198 |         66 |      1,067 |
| app\scripts\background                                                                                                                                    |         10 |        878 |        430 |         68 |      1,376 |
| app\scripts\background\tasks                                                                                                                              |          2 |        116 |        284 |          9 |        409 |
| app\scripts\codebook                                                                                                                                      |         30 |      3,209 |        715 |        251 |      4,175 |
| app\scripts\codebook\model                                                                                                                                |          3 |        631 |        159 |         47 |        837 |
| app\scripts\codebook\operations                                                                                                                           |         26 |      2,536 |        515 |        199 |      3,250 |
| app\scripts\codebook\operations\create                                                                                                                    |         16 |        992 |        132 |         86 |      1,210 |
| app\scripts\codebook\operations\create\builtIn                                                                                                            |          2 |         48 |          5 |          4 |         57 |
| app\scripts\codebook\operations\create\emptyCodebook                                                                                                      |          1 |         22 |          1 |          3 |         26 |
| app\scripts\codebook\operations\create\googleSheetsProvider                                                                                               |          3 |        320 |         34 |         21 |        375 |
| app\scripts\codebook\operations\create\moodleProvider                                                                                                     |          6 |        456 |         64 |         42 |        562 |
| app\scripts\codebook\operations\create\moodleProvider\augmentation                                                                                        |          4 |        160 |         17 |         28 |        205 |
| app\scripts\codebook\operations\create\noCodebook                                                                                                         |          2 |         34 |          5 |          4 |         43 |
| app\scripts\codebook\operations\create\publicPrivate                                                                                                      |          1 |         29 |          4 |          5 |         38 |
| app\scripts\codebook\operations\delete                                                                                                                    |          2 |         63 |          8 |         10 |         81 |
| app\scripts\codebook\operations\export                                                                                                                    |          2 |         64 |          5 |         11 |         80 |
| app\scripts\codebook\operations\import                                                                                                                    |          2 |        139 |         13 |         13 |        165 |
| app\scripts\codebook\operations\read                                                                                                                      |          2 |        846 |        281 |         45 |      1,172 |
| app\scripts\codebook\operations\update                                                                                                                    |          2 |        432 |         76 |         34 |        542 |
| app\scripts\contentScript                                                                                                                                 |          7 |      1,149 |        281 |        108 |      1,538 |
| app\scripts\docxExporter                                                                                                                                  |          1 |         95 |          8 |         17 |        120 |
| app\scripts\exporter                                                                                                                                      |          1 |        249 |        217 |         16 |        482 |
| app\scripts\googleSheets                                                                                                                                  |          2 |        342 |         48 |         25 |        415 |
| app\scripts\groupManipulation                                                                                                                             |          1 |        509 |        145 |         34 |        688 |
| app\scripts\importExport                                                                                                                                  |          2 |        146 |         25 |          7 |        178 |
| app\scripts\moodle                                                                                                                                        |          6 |        467 |         24 |         51 |        542 |
| app\scripts\options                                                                                                                                       |          1 |        203 |         38 |         14 |        255 |
| app\scripts\popup                                                                                                                                         |          1 |         22 |          2 |          4 |         28 |
| app\scripts\target                                                                                                                                        |          4 |        362 |         70 |         30 |        462 |
| app\scripts\target\formats                                                                                                                                |          3 |         12 |          0 |          3 |         15 |
| app\scripts\utils                                                                                                                                         |         15 |      1,163 |        176 |        134 |      1,473 |
| app\styles                                                                                                                                                |         18 |        906 |         35 |        146 |      1,087 |
| tasks                                                                                                                                                     |         17 |        282 |        166 |         54 |        502 |
| tasks\lib                                                                                                                                                 |          2 |         50 |         33 |         14 |         97 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                  | language     | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\gorka\workspace\WacLine\input\.editorconfig                                                                                                      | Properties   |          9 |          1 |          3 |         13 |
| c:\Users\gorka\workspace\WacLine\input\.gitattributes                                                                                                     | Properties   |          1 |          0 |          1 |          2 |
| c:\Users\gorka\workspace\WacLine\input\.idea\misc.xml                                                                                                     | XML          |          9 |          0 |          0 |          9 |
| c:\Users\gorka\workspace\WacLine\input\.idea\modules.xml                                                                                                  | XML          |          8 |          0 |          0 |          8 |
| c:\Users\gorka\workspace\WacLine\input\.idea\vcs.xml                                                                                                      | XML          |          6 |          0 |          0 |          6 |
| c:\Users\gorka\workspace\WacLine\input\app\_locales\en\messages.json                                                                                      | JSON         |        119 |          0 |          1 |        120 |
| c:\Users\gorka\workspace\WacLine\input\app\content\browserStorage\browserStorageSearch.html                                                               | HTML         |         28 |          0 |          1 |         29 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\build\pdf.js                                                                                     | JavaScript   |     17,490 |        156 |        892 |     18,538 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\build\pdf.worker.js                                                                              | JavaScript   |     44,374 |        175 |        958 |     45,507 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-check.svg                                                                  | XML          |         11 |          0 |          1 |         12 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-comment.svg                                                                | XML          |         16 |          0 |          1 |         17 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-help.svg                                                                   | XML          |         26 |          0 |          1 |         27 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-insert.svg                                                                 | XML          |         10 |          0 |          1 |         11 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-key.svg                                                                    | XML          |         11 |          0 |          1 |         12 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-newparagraph.svg                                                           | XML          |         11 |          0 |          1 |         12 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-noicon.svg                                                                 | XML          |          7 |          0 |          1 |          8 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-note.svg                                                                   | XML          |         42 |          0 |          1 |         43 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\images\annotation-paragraph.svg                                                              | XML          |         16 |          0 |          1 |         17 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ach\viewer.properties                                                                 | Properties   |        108 |         56 |         16 |        180 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\af\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ak\viewer.properties                                                                  | Properties   |         59 |         56 |         16 |        131 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\an\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ar\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\as\viewer.properties                                                                  | Properties   |         96 |         56 |         16 |        168 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ast\viewer.properties                                                                 | Properties   |        106 |         56 |         16 |        178 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\az\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\be\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\bg\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\bn-BD\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\bn-IN\viewer.properties                                                               | Properties   |        106 |         56 |         16 |        178 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\br\viewer.properties                                                                  | Properties   |        109 |         56 |         16 |        181 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\bs\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ca\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\cs\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\csb\viewer.properties                                                                 | Properties   |         79 |         28 |         28 |        135 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\cy\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\da\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\de\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\el\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\en-GB\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\en-US\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\en-ZA\viewer.properties                                                               | Properties   |         99 |         56 |         16 |        171 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\eo\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\es-AR\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\es-CL\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\es-ES\viewer.properties                                                               | Properties   |        113 |          3 |          2 |        118 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\es-MX\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\et\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\eu\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\fa\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ff\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\fi\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\fr\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\fy-NL\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ga-IE\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\gd\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\gl\viewer.properties                                                                  | Properties   |         97 |         56 |         16 |        169 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\gu-IN\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\he\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\hi-IN\viewer.properties                                                               | Properties   |        112 |         56 |         16 |        184 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\hr\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\hu\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\hy-AM\viewer.properties                                                               | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\id\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\is\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\it\viewer.properties                                                                  | Properties   |        113 |          3 |          2 |        118 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ja\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ka\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\kk\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\km\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\kn\viewer.properties                                                                  | Properties   |        111 |         56 |         16 |        183 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ko\viewer.properties                                                                  | Properties   |        113 |         56 |         16 |        185 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\ku\viewer.properties                                                                  | Properties   |         75 |         56 |         16 |        147 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\lg\viewer.properties                                                                  | Properties   |         41 |         56 |         16 |        113 |
| c:\Users\gorka\workspace\WacLine\input\app\content\pdfjs\web\locale\lij\viewer.properties                                                                 | Properties   |        109 |         56 |         16 |        181 |
